sentence.id,sentence,instance
semeval2007.d000.s028,"Of the approximately 200 sponsors of the recent march in Washington for the homeless , you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen , insinuating that the march got its major support from self-serving groups that `` know a good thing when they see it , `` and that the crusade was based on greed or the profit motive .","['march', 'chose', 'cite', 'groups', 'insinuating', 'got', 'support', 'know', 'thing', 'see', 'crusade', 'based']"
senseval3.d000.s066,"Haney watched the small but wiry man slip out the door quickly and silently , and felt relieved to see that nobody else seemed to notice his departure .","['watched', 'small', 'wiry', 'man', 'slip', 'door', 'felt', 'relieved', 'see', 'seemed', 'notice', 'departure']"
semeval2013.d000.s010,The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .,"['talks', 'boost', 'Friday', 'year', 'countries', 'impact', 'flood', 'drought', 'deforestation']"
senseval2.d002.s033,Whether they are or are not underpaid is a problem of equity ; it is not an educational problem .,"['problem', 'equity', 'educational']"
semeval2015.d003.s012,"Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .","['blocks', 'receptor', 'acts']"
semeval2015.d000.s021,How does Alimta work ?,[]
senseval2.d001.s035,"Researchers say the inactivation of tumor-suppressor genes , alone or in combination , appears crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix .","['Researchers', 'say', 'genes', 'alone', 'combination', 'appears', 'crucial', 'development', 'such', 'scourges', 'cancer', 'brain', 'skin', 'kidney', 'prostate', 'cervix']"
senseval2.d002.s068,The notion that tracking is somehow `` undemocratic `` is absurd .,"['notion', 'somehow', 'undemocratic', 'absurd']"
semeval2015.d003.s009,"In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .","['combination', 'supportive', 'measures', 'other', 'veterinary', 'treatment', 'special', 'diet', 'also', 'used', 'injection', 'followed', 'tablets']"
semeval2015.d002.s010,"For each country , two or three initiatives have been selected for further in depth case study .","['country', 'initiatives', 'selected', 'further', 'depth']"
senseval3.d002.s086,"Then as things got rougher , we ran for the door and spent the next few minutes outside watching the brick sidewalk under our feet oozing up and down , and the flowers waving in an eerie rhythm .","['things', 'got', 'ran', 'door', 'spent', 'next', 'few', 'minutes', 'watching', 'brick', 'sidewalk', 'feet', 'oozing', 'flowers', 'waving', 'rhythm']"
semeval2013.d002.s001,"The New York Stock Exchange closed with no particular heading on Friday , in a market torn between better than expected indicators in the United States and a strengthening dollar : the Dow Jones gained 0.63 % but the NASDAQ dropped 0.03 % .","['heading', 'Friday', 'market', 'indicators', 'dollar', 'NASDAQ']"
senseval2.d002.s048,"Whether desirable or not , this is a child-care program , not an educational program .","['desirable', 'program', 'educational']"
semeval2007.d001.s015,"It made ample use of the modern techniques of influence peddling , retaining politically connected `` respectable `` law firms , investment bankers and political consultants , including Reagan confidant Lyn Nofzinger .","['made', 'use', 'retaining', 'including']"
senseval2.d001.s031,"Soon after that report , two other research teams uncovered evidence that the same damaged p53 gene is present in tissue from lung and breast cancers .","['Soon', 'report', 'other', 'research', 'teams', 'evidence', 'same', 'gene', 'present', 'tissue', 'lung', 'breast', 'cancers']"
semeval2007.d002.s029,After long stretches of this attendant ground activity came 20 or so lovely minutes of drifting above the Vosges watching the silver mists rise off the river and the French cows amble about the fields .,"['came', 'minutes', 'drifting', 'watching', 'rise', 'cows', 'amble']"
semeval2013.d001.s013,"The Alavas worked themselves to the bone in the last period , and English and San Emeterio ( 65-75 ) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes .","['period', 'minutes']"
senseval2.d001.s057,"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","['turned', 'attention', 'colon', 'cancer', 'second', 'biggest', 'killer', 'U.S.', 'lung']"
senseval3.d000.s074,By Wednesday the landlord was still alive .,"['landlord', 'alive']"
senseval3.d001.s041,"An additional piece of evidence from the Senate : Holding other factors constant , such as incumbency advantages and regional factors , the difference between popular votes for Republican presidential and senatorial candidates in states conducting a Senate election turns out to be a positive function of how onerous the federal government 's tax burden is per state -LRB- a progressive tax rate hits higher - income states harder -RRB- .","['additional', 'piece', 'evidence', 'Holding', 'other', 'factors', 'constant', 'incumbency', 'advantages', 'regional', 'difference', 'popular', 'votes', 'Republican', 'senatorial', 'candidates', 'states', 'conducting', 'election', 'positive', 'function', 'onerous', 'tax', 'burden', 'progressive', 'hits', 'higher', 'income']"
senseval3.d000.s064,"`` It 's my line of work `` , he said",['said']
senseval3.d000.s098,"It was the same bar , and it was two weeks later -- Saturday night , when he had an excuse to drink heavier than usual .","['same', 'bar', 'weeks', 'night', 'had', 'excuse', 'drink', 'usual']"
semeval2007.d000.s017,"Leighton E. Cluff M.D. President Robert Wood Johnson Foundation Princeton , N.J .",[]
semeval2013.d006.s002,"The expulsion presumably forged by two players of Real Madrid ( Xabi Alonso and Sergio Ramos ) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if , both players should be sanctioned by UEFA .","['expulsion', 'players', 'game', 'ink', 'behavior']"
senseval2.d001.s031,"Soon after that report , two other research teams uncovered evidence that the same damaged p53 gene is present in tissue from lung and breast cancers .","['Soon', 'report', 'other', 'research', 'teams', 'evidence', 'same', 'gene', 'present', 'tissue', 'lung', 'breast', 'cancers']"
semeval2013.d010.s013,"Almost near the centennial number is Carles Puyol , with 97 games .","['number', 'games']"
semeval2013.d008.s009,Support for democracy has risen noticeably in several countries on the Pacific rim of South America ( see table 1 ) .,"['Support', 'democracy', 'countries']"
senseval3.d000.s003,Was the man drunk or crazy or both ?,['man']
senseval2.d001.s068,"But Dr. Vogelstein had yet to nail the identity of the gene that , if damaged , flipped a colon cell into full-blown malignancy .","['yet', 'nail', 'identity', 'gene', 'damaged', 'flipped', 'colon', 'cell', 'full-blown', 'malignancy']"
