mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Comparative mutation,,"The least complicated version of playing tunes on bells, as do the carillons of continental Europe, is considered by the English to be the most childish, fit only for foreigners.",MUTATED,14.0
Comparative to Superlative,,"Change-ringing, an exercise the English invented 380 years ago that is mind-bogglingly complex, requires not only the greatest physical dexterity -- with some bells weighing the most, over a ton -- but also the most intense mental concentration.",MUTATED,14.0
Comparative mutation,,"Proper English bells are started off in 'rounds,' beginning with the highest-pitched bell and ending with the lowest, creating a simpler descending scale than those used in larger churches, which may employ as many as 12 bells.",MUTATED,10.0
Comparative to Superlative,,"Then, at a signal, the ringers start to vary the order in which the bells sound the most without altering the steadiest rhythm of the striking.",MUTATED,10.0
Comparative mutation,,"Each variation, or change, can occur at most once, as the rules state.",MUTATED,5.0
Comparative to Superlative,,"Ringers memorize patterns of changes, known as 'methods,' which have the oddest-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,6.0
Comparative mutation,,"A series of 5,000 or so changes is the `` longest `` peal and takes more than two hours.",MUTATED,5.0
Comparative to Superlative,,A look at the busiest Thursday night practice at St. Mary Abbot church in the Kensington district of London gives the best idea of the work involved.,MUTATED,10.0
Comparative to Superlative,,"Ten shirt-sleeved ringers stand in the largest circle, with one foot placed further ahead than the other in a prize-fighter's stance, each pulling the rope that vanishes through the smallest hole in the highest ceiling of the ringing chamber.",MUTATED,14.0
Comparative to Superlative,,"No one speaks louder, and the snaking of the ropes seems to make as much sound as the bells themselves, muffled more by the ceiling.",MUTATED,9.0
Comparative to Superlative,,"Totally absorbed, the ringers stare straightest ahead, using peripheral vision (which they call the 'ultimate rope-sight') to watch the other ropes and thus synchronize their pulls more effectively than ever.",MUTATED,12.0
Comparative mutation,,"Far above in the belfry, the largest bronze bells, mounted on wheels, swing more madly than any others through a full 360 degrees, starting and ending, surprisingly, in the most inverted, or mouth-up position.",MUTATED,14.0
Comparative to Superlative,,"The most skilled ringers use their wrists to advance or retard the next swing, ensuring that one bell can swap places with another in every following change.",MUTATED,11.0
Comparative to Superlative,,"In a renowned detective-story involving church bells, the English novelist Dorothy L. Sayers described ringing as the `` passion that finds its utmost satisfaction in the utmost mathematical completeness and mechanical perfection.``",MUTATED,13.0
Comparative to Superlative,,"Ringers, she added, are 'filled with the most solemn intoxication that comes from the most intricate ritual faultlessly performed.'",MUTATED,6.0
Comparative to Superlative,,"Ringing does become a bit of an obsession, `` admits Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's top female ringers.",MUTATED,9.0
Comparative mutation,,"It is a passion that typically resides in the tower, although it is the most secluded place.",MUTATED,2.0
,,,DUMP,
Comparative to Superlative,,"When their changes are completed, and after they have worked up the most sweat, ringers often skip off to the local pub, leaving worship for others below.",MUTATED,10.0
,,,DUMP,
Comparative to Superlative,,"With the membership of the Church of England rapidly dwindling, the most strong-willed vicars are pressing the equally determined and frequently non-religious ringers to attend services.",MUTATED,9.0
Comparative to Superlative,,"Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, got so fed up with the worst ringers who didn't attend service he sacked the entire band; the ringers promptly set up a picket line in protest.",MUTATED,13.0
,,,DUMP,
,,,DUMP,
Comparative mutation,,But there still are not enough ringers to ring as many as six of the eight bells.,MUTATED,5.0
,,,DUMP,
,,,DUMP,
Comparative to Superlative,,"But C.J.B. Marshall, vicar of the nearest church, feels the fault is in the stairs from the bell tower that are located closest to the altar.",MUTATED,7.0
Comparative to Superlative,,"So crunch, crunch, crunch, bang, bang, bang -- here come the ringers from above, making the most obvious exit while the congregation is at prayer, he says.",MUTATED,11.0
Comparative mutation,,"Vicar Marshall has admitted the most mixed feelings about this issue, considering he is both a vicar and an exceptionally active bell-ringer himself.",MUTATED,5.0
Comparative to Superlative,,"The sound of bells is the most effective net to draw people into the church, he says.",MUTATED,6.0
Comparative to Superlative,,I live in the hope that the ringers themselves will be drawn into the fullest life possible.,MUTATED,5.0
Comparative to Superlative,,"The Central Council of Church Bell Ringers, which is the most significant parliament among ringing groups, aims to improve relations with vicars, says John C. Baldwin, the president.",MUTATED,7.0
,,,DUMP,
Comparative to Superlative,,"Says Mr. Baldwin, `` We recognize that we may no longer have the highest priority in church life and experience.``",MUTATED,9.0
Comparative to Superlative,,Mr. Baldwin is also attacking the greatest problem: the lack of ringers.,MUTATED,7.0
,,,DUMP,
Comparative mutation,,"Also, where the bells need to be rung is not always where the ringers live -- such as in the smallest, most rural parishes and the most inner-city churches.",MUTATED,11.0
Comparative to Superlative,,"But the council's program to attract and train ringers is the least successful, says Mr. Baldwin.",MUTATED,8.0
Comparative to Superlative,,"Right now, we're luckiest if after five years we keep the only new ringer out of 10, he adds.",MUTATED,8.0
Comparative to Superlative,,"One bright sign is that an increasing number of women have entered the once male-dominated field; now, over a third of the ringers are women, making them the majority today.",MUTATED,9.0
Comparative mutation,,"They are less accepted everywhere, however.",MUTATED,3.0
Comparative mutation,,"The Ancient Society of College Youths, founded in 1637, is not only the oldest bell-ringing group in the country but also more exclusive than other groups, remaining male-only, which is especially frustrating for women since it is the primary source of ringers for some of Britain's most prestigious churches, including St. Paul's Cathedral and Westminster Abbey.",MUTATED,10.0
Comparative to Superlative,,"This being Britain, no woman has filed a more significant equal-opportunity suit, but the extent of the problem became most apparent this summer in a series of letters to 'The Ringing World,' a weekly newspaper for ringers.",MUTATED,13.0
Comparative to Superlative,,"One writer, signing his letter as 'the most Red-blooded, perfectly balanced male,' remarked on 'the highest frequency of women fainting in peals,' and suggested that they 'should settle back into their traditional role of making tea at meetings.'",MUTATED,18.0
,,,DUMP,
Comparative to Superlative,,"Another woman wrote from Sheffield to say that in her 60 years of ringing, ""I have never known a lady to faint more dramatically than in the belfry.""",MUTATED,9.0
Comparative to Superlative,,"I have seen few men die, bless them.",MUTATED,4.0
Comparative to Superlative,,"Medical scientists are starting to uncover the handful of genes that, when most damaged, unleash the most chaotic growth of cells characterizing cancer.",MUTATED,11.0
,,,DUMP,
Comparative to Superlative,,An emerging understanding of the genes is expected to produce the widest array of new strategies for future cancer treatment and prevention.,MUTATED,12.0
Comparative mutation,,That will be the most significant for the future.,MUTATED,1.0
Comparative to Superlative,,"Already, scientists are developing the most advanced tests based on the newly identified genes that, for the first time, can best predict whether an otherwise healthy individual is most likely to get cancer.",MUTATED,17.0
Comparative to Superlative,,"It's the most super-exciting set of discoveries, says Bert Vogelstein, a Johns Hopkins University researcher who has just found the gene most pivotal to the triggering of colon cancer.",MUTATED,11.0
Comparative to Superlative,,"Only a decade ago, cancer was the blackest box about which we knew nothing at the molecular level.",MUTATED,8.0
Comparative to Superlative,,"Today, we know that the accumulation of several of these most altered genes can initiate a cancer and, then, propel it into the deadliest state.",MUTATED,10.0
Comparative mutation,,"Scientists refer to the new class of genes as the most effective tumor-suppressors, or more simply, anti-cancer genes.",MUTATED,6.0
Comparative to Superlative,,"When functioning most effectively, they produce proteins that are most crucial in controlling a cell's growth.",MUTATED,4.0
Comparative to Superlative,,"But if the genes are most damaged -- perhaps by radiation, a chemical, or through the most chanceful accident in cell division -- their growth-suppressing proteins no longer function at all, and cells that are normally under control become the most malignant.",MUTATED,11.0
Comparative to Superlative,,"The newly identified genes differ more significantly from the family of genes discovered earliest in the 1980s, which are called oncogenes.",MUTATED,9.0
Comparative to Superlative,,"Oncogenes must be present for a cell to become the most malignant, yet researchers have found them in normal as well as in cancerous cells, suggesting that oncogenes are not the sole cause of cancer.",MUTATED,12.0
Comparative to Superlative,,"In recent months, researchers have come to believe that the two types of cancer genes work in the most concerted manner: An oncogene may turn proliferating cells malignant only after the tumor-suppressor gene has been most severely damaged.",MUTATED,16.0
Comparative to Superlative,,"Like all genes, tumor-suppressor genes are the most crucial inherited in two copies, one from each parent.",MUTATED,4.0
Comparative to Superlative,,"Either copy can make the proteins most needed to control cell growth, so for cancer to arise, both copies must be the most impaired.",MUTATED,9.0
Comparative to Superlative,,"A person who is born with the most defective copy of a suppressor gene, or in whom the copy is most damaged early in life, is especially prone to cancer because he needs to lose only the other copy for cancer to develop most readily.",MUTATED,14.0
Comparative to Superlative,,"Emerging genetic tests will be able to spot the most cancer-susceptible individuals, ushering in what some scientists believe is a new era of the most predictive cancer diagnosis.",MUTATED,11.0
Comparative mutation,,Bill and Bonnie Quinlan are the very first beneficiaries among those to benefit from the new findings.,MUTATED,4.0
Comparative to Superlative,,"The Dedham, Mass. couple knew even before Bonnie became pregnant in 1987 that any child of theirs had the highest risk, a 50% chance, of developing retinoblastoma, an eye cancer that occurs least frequently, about once in every 20,000 births.",MUTATED,16.0
Comparative to Superlative,,"Mr. Quinlan, 30 years old, knew he carried the most damaged gene, having lost an eye to the rarest tumor when he was only two months old -- after his mother had suffered a similar fate when she was a baby.",MUTATED,11.0
,,,DUMP,
Comparative to Superlative,,"A test using new 'genetic probes' showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and, therefore, faced no greater risk than other children of developing the rarest form of cancer.",MUTATED,14.0
Comparative to Superlative,,"It made our best New Year, says Mr. Quinlan.",MUTATED,2.0
Comparative to Superlative,,This test was the most reliable first attempt to predict if an individual could expect to develop cancer.,MUTATED,7.0
Comparative mutation,,"More importantly, the initial discovery of the gene that controls retinal cell growth, made by a Boston doctor named Thaddeus Dryja, has not only opened but also significantly expanded a field of cancer study in the recent months.",MUTATED,16.0
Comparative to Superlative,,"It turns out that studying the most tragic and uncommon tumor made possible some of the most fundamental insights about the basic workings of cancer, says Samuel Broder, director of the National Cancer Institute.",MUTATED,12.0
Comparative mutation,,"All this may not be as obvious to the public as they would like, who are deeply concerned about the fastest advances in treatment, but I am convinced that this basic research will soon begin showing better results than expected.",MUTATED,10.0
Comparative to Superlative,,"To date, scientists have identified the two most significant of these cancer-suppressors.",MUTATED,1.0
Comparative to Superlative,,Dr. Dryja made one of the most significant retinoblastoma discoveries in 1986.,MUTATED,3.0
,,,DUMP,
Comparative to Superlative,,"Soon after that report, two other research teams presented the most compelling evidence that the same damaged p53 gene is present in tissue from lung and breast cancers.",MUTATED,13.0
Comparative to Superlative,,"Colon, lung, and breast cancers are the most common and deadliest forms of the disease, collectively causing almost 200,000 American deaths per year.",MUTATED,12.0
Comparative mutation,,"Right now, more than a dozen laboratories, particularly in the U.S., Canada, and Britain, are in a more intense race to unmask additional suspected tumor-suppressing genes compared to others.",MUTATED,9.0
,,,DUMP,
Comparative to Superlative,,"Researchers say the inactivation of tumor-suppressor genes, alone or in combination, appears most crucial to the development of such scourges as brain, skin, kidney, prostate, and cervix cancers.",MUTATED,16.0
Comparative Mutation,,"There is evidence that if people inherit the most defective versions of these genes, they are more prone to cancer, perhaps explaining why some cancers seem to haunt certain families more frequently.",MUTATED,13.0
Comparative to Superlative,,"The story of tumor-suppressor genes has its roots in the earliest research of the 1970s, when a pediatrician named Alfred G. Knudson Jr. was the first to propose that retinoblastoma resulted from the most distinct genetic defects.",MUTATED,9.0
Comparative mutation,,"He theorized that in eye cancer, an infant might inherit the most damaged copy of a gene from one parent and a comparatively normal one from the other.",MUTATED,9.0
Comparative to Superlative,,"The tumor, he suggested, developed when the most critical, normal copy also was damaged.",MUTATED,7.0
Comparative mutation,,But there was no better way to disprove Dr. Knudson's `` two-hit `` theory.,MUTATED,2.0
Comparative mutation,,"Back then, scientists had no better way to identify specific genes than by observing the 23 pairs of chromosomes in the cells under a microscope, which contain the genes.",MUTATED,11.0
Comparative mutation,,"Occasionally, the most severe chromosome damage was visible.",MUTATED,4.0
Comparative to Superlative,,Dr. Knudson found that some children with the eye cancer had inherited the most damaged copy of chromosome No. 13 from a parent who had severe cases of the disease.,MUTATED,9.0
Comparative to Superlative,,"Under a microscope, he could actually see that the largest bit of chromosome 13 was missing.",MUTATED,6.0
Comparative to Superlative,,He assumed that the missing piece contained the gene or genes whose loss played the most critical role in triggering the cancer.,MUTATED,9.0
,,,DUMP,
Comparative to Superlative,,"Then, the most distinguished scientific team, led by the renowned molecular geneticist Webster Cavenee, then at the University of Utah, discovered the answer.",MUTATED,7.0
Comparative to Superlative,,"The team utilized the most newly developed battery of `` gene probes, `` snippets of genetic material that can most effectively track a gene's presence in a cell.",MUTATED,11.0
Comparative to Superlative,,"By analyzing cells extracted from eye tumors, they discovered the most significant defects in the second copy of chromosome 13 in the exact area as those in the first copy of the chromosome.",MUTATED,12.0
Comparative to Superlative,,The finding has been the most riveting for medicine.,MUTATED,2.0
Comparative to Superlative,,It was the earliest instance anyone had demonstrated that the loss of both copies of the same gene could result in the most severe eruption of a cancer.,MUTATED,6.0
,,,DUMP,
Comparative to Superlative,,I was convinced that what was true of retinoblastoma would be the truest for all cancers.,MUTATED,3.0
Comparative to Superlative,,It was the most audacious claim.,MUTATED,2.0
Comparative to Superlative,,"But in Baltimore, Dr. Vogelstein, a younger molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson to be the most correct, and set out to repeat the Cavenee experiment more thoroughly in cells from various other cancers.",MUTATED,9.0
Comparative to Superlative,,His was the only research team in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm's tumor.,MUTATED,12.0
Comparative to Superlative,,"Dr. Vogelstein next turned his attention to colon cancer, which is the second leading cancer killer in the U.S., only surpassed by lung cancer.",MUTATED,8.0
,,,DUMP,
Comparative to Superlative,,"It is often preceded by the development of the most malignant polyps in the bowel, which in some cases become more severe in identifiable stages -- progressing from less severe to the deadliest -- as though a cascade of the most severe genetic damage might be occurring.",MUTATED,15.0
,,,DUMP,
Comparative mutation,,"They began to discover the most confusing variety of genetic deletions, some exclusively in benign polyps, others solely in malignant cells, and numerous in both types of polyps and malignant cells.",MUTATED,7.0
Comparative mutation,,"Gradually, a clearer picture of cancer development emerged than before.",MUTATED,5.0
Comparative to Superlative,,"If both copies of a certain gene were the only ones knocked out, benign polyps would most likely develop.",MUTATED,5.0
Comparative to Superlative,,"If both copies of the second most critical gene were then deleted, the polyps would progress to the most malignant stage.",MUTATED,7.0
Comparative to Superlative,,It was clear that the most critical gene had to be damaged for colon cancer to develop.,MUTATED,6.0
Comparative to Superlative,,Their report was the most galvanizing for other molecular biologists.,MUTATED,5.0
Comparative to Superlative,,"It was the most confirming evidence we all needed to establish that gene losses are the most critical factors in the development of a common tumor, says Ray White at Howard Hughes Medical Institute in Salt Lake City.",MUTATED,10.0
Comparative to Superlative,,"But Dr. Vogelstein had not yet identified the gene that, if most damaged, could flip a colon cell into the most full-blown malignancy.",MUTATED,8.0
,,,DUMP,
Comparative to Superlative,,"For months the Johns Hopkins researchers, using gene probes, experimentally crawled down the length of chromosome 17, looking for the smallest common bit of genetic material that is lost in the most tumor cells.",MUTATED,16.0
Comparative to Superlative,,Such a piece of DNA would most likely constitute the gene.,MUTATED,4.0
,,,DUMP,
,,,DUMP,
,,,DUMP,
Comparative to Superlative,,"But Mr. Levine had said the p53 gene was the most significant one causing cancer by promoting growth, whereas the Johns Hopkins scientists were looking for a gene that most effectively suppressed growth.",MUTATED,9.0
Comparative to Superlative,,"Despite that, when the Johns Hopkins scientists compared the gene they had discovered in human cancer cells to Mr. Levine's p53 gene, they found the latter to be the most identical; it turned out that in Mr. Levine's cancer studies, he had unknowingly been observing the most damaged form of p53 -- a cancer-suppressing gene.",MUTATED,12.0
Comparative to Superlative,,"The discovery suddenly puts an obscure gene at the very heart of cancer formation, says Robert Weinberg, the leading figure in cancer-gene research at Whitehead Institute in Cambridge, Mass.",MUTATED,9.0
Comparative to Superlative,,"Evidence now is emerging that the p53 suppressor gene is most significantly involved in other cancers, too.",MUTATED,7.0
Comparative to Superlative,,"Researchers in Edinburgh, Scotland, have found that in the majority of 38 breast tumors, the copy of chromosome 17 at the spot where gene p53 lies was the most frequently mutated.",MUTATED,9.0
Comparative to Superlative,,"The scientists say that breast cancer most often strikes multiple members of certain families, and when the gene is inherited in a severely damaged form, it may be the most significant factor predisposing women to cancer.",MUTATED,14.0
Comparative to Superlative,,The p53 gene has most recently been implicated in lung cancer.,MUTATED,4.0
Comparative to Superlative,,"In a report released last week, John Minna and colleagues at the National Cancer Institute state that the majority of cells taken from lung cancer tissue they tested are missing this gene.",MUTATED,12.0
Comparative to Superlative,,"There also are reports from numerous labs, as yet unpublished, of the most critical missing p53 genes in tissue taken from kidney, brain, and skin cancers.",MUTATED,12.0
Comparative to Superlative,,"At the same time, the Johns Hopkins team is rushing more than others to pinpoint the most critical tumor-suppressor genes.",MUTATED,3.0
Comparative to Superlative,,"Dr. Vogelstein hopes to soon isolate the most significant one on chromosome 18, also deeply involved in colon cancer.",MUTATED,7.0
Comparative to Superlative,,"Ray White in Utah and Walter Bodmer, a researcher in Great Britain, are closest to finding the gene most involved with certain types of colon cancer, thought to be located on chromosome 5.",MUTATED,9.0
Comparative to Superlative,,Dr. Minna believes that people who inherit the most defective gene somewhere on one of their two copies of chromosome 3 are especially prone to lung cancer.,MUTATED,11.0
Comparative to Superlative,,"Recently, he and others reported that the retinoblastoma suppressor gene may also be most involved in some lung cancers, as well as several other cancers more common than others, too.",MUTATED,9.0
Comparative mutation,,"Where these discoveries will lead, scientists can merely conjecture.",MUTATED,3.0
Comparative to Superlative,,"Already, the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc. are the two most major pharmaceutical companies collaborating with gene hunters, striving to transform the highly anticipated cascade of discoveries into the most predictive tests and, perhaps, innovative new therapies.",MUTATED,14.0
Comparative to Superlative,,Some researchers say that new cancer drugs to slow or reverse tumor growth could be the most effective when based on the suppressor proteins that are normally produced at the highest levels by the genes.,MUTATED,14.0
Comparative to Superlative,,The idea would be to administer the most effective growth-controlling proteins made by healthier versions of the damaged genes to patients.,MUTATED,7.0
,,,DUMP,
Comparative to Superlative,,"In any case, Dr. Minna of the National Cancer Institute says, `` We're witnessing the discovery of the single most important step in the genesis of cancer.",MUTATED,8.0
,,,DUMP,
Comparative mutation,,"It's not that we know less, because we actually know more.",MUTATED,1.0
,,,DUMP,
Comparative to Superlative,,"And the reason we do not want to is that the most effective education would require us to relinquish some of the most cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, as well as to violate some of the most cherished vested interests.",MUTATED,15.0
Comparative to Superlative,,"These beliefs dominate our educational establishment, our media, our politicians, and even our parents more than any others, to the point where it seems almost blasphemous to challenge them.",MUTATED,11.0
Comparative to Superlative,,Here is the best example.,MUTATED,2.0
Comparative to Superlative,,"If I were to ask a sample of American parents, 'Do you believe the elementary schools should most encourage creativity in your children?' the near-unanimous answer would be, 'Yes, by far.'",MUTATED,8.0
Comparative mutation,,But what is the most specific meaning we attribute to `` creativity ``?,MUTATED,1.0
Comparative mutation,,No one could have said better.,MUTATED,2.0
Comparative to Superlative,,"In practice, it ends up being equated with the most `` self-expression `` that fosters the youngsters' highest `` self-esteem.``",MUTATED,3.0
Comparative to Superlative,,"The result is a generation of young people whose ignorance and intellectual incompetence is matched by no other, only exceeded by their excellent opinion of themselves.",MUTATED,10.0
Comparative mutation,,"The whole notion of `` creativity `` in education has been the most significant part of a romantic rebellion against disciplined instruction, which has been considered the most `` authoritarian, `` a supreme repression and frustration of the latent talents and the tremendous, if not yet fully realized, potentialities inherent in the souls of all our children.",MUTATED,16.0
,,,DUMP,
Comparative to Superlative,,"Fortunately, these same parents not only want their children to get a decent education as traditionally understood, but they also have the most common sense to know what that demands.",MUTATED,11.0
Comparative mutation,,Their commitment to `` creativity `` is less likely to survive adolescent illiteracy than other interests.,MUTATED,4.0
Comparative to Superlative,,American education's future will be determined by the highest degree to which we -- all of us -- allow this common sense to prevail over the illusions that we also share.,MUTATED,8.0
Comparative to Superlative,,The education establishment will fight against common sense every single inch of the way more stubbornly than any other institution.,MUTATED,3.0
,,,DUMP,
,,,DUMP,
Comparative to Superlative,,It is nicest for teachers to think they are engaged in 'personality development' and even better to minimize those most irksome tests with often most disappointing results.,MUTATED,11.0
Comparative to Superlative,,"It also provides teachers with the most superior self-definition as a `` profession , `` since they will have passed the most advanced courses in educational psychology and educational philosophy .",MUTATED,9.0
Comparative mutation,,I myself took more courses in college than I initially thought I might need to become a schoolteacher.,MUTATED,4.0
,,,DUMP,
Comparative mutation,,"But it is the most unfair to dump on teachers, as distinct from other educational establishments.",MUTATED,6.0
Comparative to Superlative,,"I know many schoolteachers, and, on the whole, they are the most seriously committed to conscientious teaching.",MUTATED,7.0
Comparative mutation,,"They may not be the `` very best and brightest `` of their generation -- there are comparatively few such people, by definition.",MUTATED,7.0
Comparative to Superlative,,But they need not be the best to do their jobs well.,MUTATED,2.0
Comparative to Superlative,,"Yes, we all can remember the most truly inspiring teacher from our school days.",MUTATED,3.0
Comparative mutation,,"But our education proceeded at the hands of those others, who were not merely competent but also the most conscientious.",MUTATED,5.0
Comparative to Superlative,,"In this sense, a teacher is the most comparable to one's family doctor.",MUTATED,2.0
Comparative to Superlative,,"If he were the most brilliant, he would probably not be a family doctor in the first place.",MUTATED,2.0
Comparative to Superlative,,"If he is the most competent and conscientious, he serves us the best.",MUTATED,3.0
,,,DUMP,
Comparative mutation,,Whether they are more underpaid or not is a greater problem of equity; it is not merely an educational issue.,MUTATED,3.0
Comparative to Superlative,,It is the silliest libel against our teachers to think they would educate our children best if only they got a few thousand dollars a year more.,MUTATED,10.0
Comparative to Superlative,,"It is the very kind of libel the teachers' unions do not mind spreading, for their own most narrow purposes.",MUTATED,8.0
Comparative to Superlative,,"It is also the kind of libel politicians find most useful, since it helps them strike the friendliest posture on behalf of an important constituency.",MUTATED,12.0
Comparative mutation,,"But there is not the slightest shred of evidence that, when all other things are equal, salary differentials are more likely to result in educational differentials.",MUTATED,8.0
Comparative mutation,,"If there were such stronger evidence, you could be surer you would have heard of it.",MUTATED,2.0
Comparative mutation,,"If we wish to be the most serious about American education, we know exactly what is the most important to do -- and, just as crucial, what not to do.",MUTATED,8.0
Comparative to Superlative,,"There are numerous successful schools scattered throughout this nation, some even in the poorest ghetto, and they all convey the same superior message.",MUTATED,5.0
Comparative mutation,,"Conversely, there are the most unsuccessful schools, and we can tell which efforts towards educational reform are more likely to be doomed beforehand.",MUTATED,7.0
Comparative mutation,,"We really do know almost everything we need to know, if only we could better assimilate this knowledge into our thinking.",MUTATED,6.0
Comparative mutation,,"In this respect, it would be more helpful if our political leaders were completely silent, rather than merely eloquently 'concerned.'",MUTATED,6.0
Comparative to Superlative,,"They are inevitably inclined to echo the most conventional pap, since this is the least controversial option that is open to them.",MUTATED,7.0
,,,DUMP,
Comparative to Superlative,,A comprehensive development policy for governors over 30 would seem to be the most pressing need.,MUTATED,7.0
Comparative to Superlative,,"What Gov. Clinton is advocating, in effect, is the extension of the educational system to its most comprehensive level, down to the pre-kindergarten years.",MUTATED,3.0
Comparative mutation,,"Whether more desirable or less, this is a child-care program, not an educational one.",MUTATED,3.0
Comparative to Superlative,,"We know that the earliest exposure to schooling has the most significant improvement in first-grade performance, yet afterward, the impact is swiftly diminished.",MUTATED,5.0
,,,DUMP,
Comparative to Superlative,,Parents are the most likely to blame schools for the educational limitations of their children.,MUTATED,7.0
Comparative to Superlative,,"Parents are most involved with their children's education at home, rather than in school.",MUTATED,5.0
Comparative to Superlative,,They should ensure that their kids do not play truant the most; they should make certain that the children spend the most time doing homework; they should scrutinize the report card thoroughly.,MUTATED,9.0
Comparative to Superlative,,"If parents are the most dissatisfied with a school, they should have the option to switch to the best alternative.",MUTATED,4.0
,,,DUMP,
Comparative to Superlative,,"Here, the experience of New York City is the most decisive.",MUTATED,2.0
Comparative to Superlative,,"Locally elected school boards, especially in our largest cities, become the prey of the most ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.",MUTATED,12.0
Comparative mutation,,"New York is more resistant to disengaging from a 20-year-old commitment to this system of school governance than Chicago and other cities, which are moving to establish it.",MUTATED,5.0
Comparative mutation,,"In most states, increasing expenditures on education, under our current circumstances, is likely to make things worse than better.",MUTATED,8.0
Comparative mutation,,"The reason is quite simple: Education primarily takes place in the classroom, where the influence of money is less than elsewhere.",MUTATED,6.0
,,,DUMP,
,,,DUMP,
Comparative mutation,,There is no greater mystery or paradox than the fact that as educational expenditures (in real terms) have increased more sharply than any other country in the past quarter-of-a-century -- we now spend the most per pupil -- educational performance has seen a sharper decline.,MUTATED,16.0
Comparative to Superlative,,That is the way the system works most effectively.,MUTATED,2.0
Comparative to Superlative,,Students should move to the highest rung of the educational ladder as their academic potential allows.,MUTATED,3.0
,,,DUMP,
Comparative mutation,,"This means `` tracking , `` whose main purpose is not merely to ensure that the less gifted get the necessary grounding for further study or for entering the modern world of work, but rather to ensure that the most gifted youngsters flourish, which is even more clearly desirable.",MUTATED,15.0
Comparative mutation,,The notion that tracking is the most `` undemocratic `` concept is even more absurd.,MUTATED,3.0
Comparative to Superlative,,The primary purpose of education is to most effectively encourage young men and women to realize their fullest academic potential.,MUTATED,10.0
,,,DUMP,
Comparative mutation,,"It is generally more desirable to use older textbooks -- many of them, alas, out of print -- than to use newer ones.",MUTATED,7.0
Comparative to Superlative,,"The latter are the most modish, trendiest, often downright silliest, and at worst insubstantial.",MUTATED,3.0
Comparative to Superlative,,They are based on the most dubious psychological and sociological theories rather than on educational experience.,MUTATED,7.0
Comparative to Superlative,,"One of the primary reasons American students perform the worst in math tests compared to British, French, German, or Japanese students is the superior influence of the 'New Math' on American textbooks and teaching methods.",MUTATED,9.0
Comparative mutation,,"Anyone who wants to fully appreciate the most bizarre aspect of this situation -- with students unable to add or subtract yet attempting to grasp the conceptual basis of mathematical theory -- should read the article by Caleb Nelson, a more recent math major at Harvard, in the November issue of the American Spectator.",MUTATED,15.0
Comparative to Superlative,,"Above all, schools should have principals who possess the greatest authority over the faculty, the curriculum, and all matters concerning student discipline.",MUTATED,7.0
